"INDICATOR","PANEL_NUM","UNIT_NUM","STUB_NAME_NUM","STUB_LABEL_NUM","YEAR_NUM","AGE_NUM","ESTIMATE","FLAG"
"Drug overdose death rates",0,1,0,0.1,1,1.1,6.1,NA
"Drug overdose death rates",0,1,0,0.1,2,1.1,6.2,NA
"Drug overdose death rates",0,1,0,0.1,3,1.1,6.8,NA
"Drug overdose death rates",0,1,0,0.1,4,1.1,8.2,NA
"Drug overdose death rates",0,1,0,0.1,5,1.1,8.9,NA
"Drug overdose death rates",0,1,0,0.1,6,1.1,9.4,NA
"Drug overdose death rates",0,1,0,0.1,7,1.1,10.1,NA
"Drug overdose death rates",0,1,0,0.1,8,1.1,11.5,NA
"Drug overdose death rates",0,1,0,0.1,9,1.1,11.9,NA
"Drug overdose death rates",0,1,0,0.1,10,1.1,11.9,NA
"Drug overdose death rates",0,1,0,0.1,11,1.1,11.9,NA
"Drug overdose death rates",0,1,0,0.1,12,1.1,12.3,NA
"Drug overdose death rates",0,1,0,0.1,13,1.1,13.2,NA
"Drug overdose death rates",0,1,0,0.1,14,1.1,13.1,NA
"Drug overdose death rates",0,1,0,0.1,15,1.1,13.8,NA
"Drug overdose death rates",0,1,0,0.1,16,1.1,14.7,NA
"Drug overdose death rates",0,1,0,0.1,17,1.1,16.3,NA
"Drug overdose death rates",0,1,0,0.1,18,1.1,19.8,NA
"Drug overdose death rates",0,1,0,0.1,19,1.1,21.7,NA
"Drug overdose death rates",0,1,2,2.1,1,1.1,8.2,NA
"Drug overdose death rates",0,1,2,2.1,2,1.1,8.3,NA
"Drug overdose death rates",0,1,2,2.1,3,1.1,9,NA
"Drug overdose death rates",0,1,2,2.1,4,1.1,10.6,NA
"Drug overdose death rates",0,1,2,2.1,5,1.1,11.5,NA
"Drug overdose death rates",0,1,2,2.1,6,1.1,11.8,NA
"Drug overdose death rates",0,1,2,2.1,7,1.1,12.8,NA
"Drug overdose death rates",0,1,2,2.1,8,1.1,14.8,NA
"Drug overdose death rates",0,1,2,2.1,9,1.1,14.9,NA
"Drug overdose death rates",0,1,2,2.1,10,1.1,14.9,NA
"Drug overdose death rates",0,1,2,2.1,11,1.1,14.8,NA
"Drug overdose death rates",0,1,2,2.1,12,1.1,15,NA
"Drug overdose death rates",0,1,2,2.1,13,1.1,16.1,NA
"Drug overdose death rates",0,1,2,2.1,14,1.1,16.1,NA
"Drug overdose death rates",0,2,2,2.1,19,1.1,29,NA
"Drug overdose death rates",0,1,2,2.1,15,1.1,17,NA
"Drug overdose death rates",0,1,2,2.1,16,1.1,18.3,NA
"Drug overdose death rates",0,1,2,2.1,17,1.1,20.8,NA
"Drug overdose death rates",0,1,2,2.1,18,1.1,26.2,NA
"Drug overdose death rates",0,1,2,2.1,19,1.1,29.1,NA
"Drug overdose death rates",0,1,2,2.2,1,1.1,3.9,NA
"Drug overdose death rates",0,1,2,2.2,2,1.1,4.1,NA
"Drug overdose death rates",0,1,2,2.2,3,1.1,4.6,NA
"Drug overdose death rates",0,1,2,2.2,4,1.1,5.8,NA
"Drug overdose death rates",0,1,2,2.2,5,1.1,6.4,NA
"Drug overdose death rates",0,1,2,2.2,6,1.1,6.9,NA
"Drug overdose death rates",0,1,2,2.2,7,1.1,7.3,NA
"Drug overdose death rates",0,1,2,2.2,8,1.1,8.2,NA
"Drug overdose death rates",0,1,2,2.2,9,1.1,8.8,NA
"Drug overdose death rates",0,1,2,2.2,10,1.1,8.9,NA
"Drug overdose death rates",0,1,2,2.2,11,1.1,9.1,NA
"Drug overdose death rates",0,1,2,2.2,12,1.1,9.6,NA
"Drug overdose death rates",0,1,2,2.2,13,1.1,10.2,NA
"Drug overdose death rates",0,1,2,2.2,14,1.1,10.2,NA
"Drug overdose death rates",0,1,2,2.2,15,1.1,10.6,NA
"Drug overdose death rates",0,1,2,2.2,16,1.1,11.1,NA
"Drug overdose death rates",0,1,2,2.2,17,1.1,11.8,NA
"Drug overdose death rates",0,1,2,2.2,18,1.1,13.4,NA
"Drug overdose death rates",0,1,2,2.2,19,1.1,14.4,NA
"Drug overdose death rates",0,1,4,4.1,1,1.1,8.1,NA
"Drug overdose death rates",0,1,4,4.1,2,1.1,8.4,NA
"Drug overdose death rates",0,1,4,4.1,3,1.1,9.2,NA
"Drug overdose death rates",0,1,4,4.1,4,1.1,11.1,NA
"Drug overdose death rates",0,1,4,4.1,5,1.1,12.2,NA
"Drug overdose death rates",0,1,4,4.1,6,1.1,12.6,NA
"Drug overdose death rates",0,1,4,4.1,7,1.1,13.6,NA
"Drug overdose death rates",0,1,4,4.1,8,1.1,15.7,NA
"Drug overdose death rates",0,1,4,4.1,9,1.1,16.3,NA
"Drug overdose death rates",0,1,4,4.1,10,1.1,16.5,NA
"Drug overdose death rates",0,1,4,4.1,11,1.1,16.4,NA
"Drug overdose death rates",0,1,4,4.1,12,1.1,16.8,NA
"Drug overdose death rates",0,1,4,4.1,13,1.1,18.1,NA
"Drug overdose death rates",0,1,4,4.1,14,1.1,18.1,NA
"Drug overdose death rates",0,1,4,4.1,15,1.1,19,NA
"Drug overdose death rates",0,1,4,4.1,16,1.1,20.4,NA
"Drug overdose death rates",0,1,4,4.1,17,1.1,23.2,NA
"Drug overdose death rates",0,1,4,4.1,18,1.1,28.8,NA
"Drug overdose death rates",0,1,4,4.1,19,1.1,31.6,NA
"Drug overdose death rates",0,1,4,4.1,20,1.1,29.9,NA
"Drug overdose death rates",0,1,4,4.2,1,1.1,11.5,NA
"Drug overdose death rates",0,1,4,4.2,2,1.1,10.8,NA
"Drug overdose death rates",0,1,4,4.2,3,1.1,11,NA
"Drug overdose death rates",0,1,4,4.2,4,1.1,11.5,NA
"Drug overdose death rates",0,1,4,4.2,5,1.1,11.3,NA
"Drug overdose death rates",0,1,4,4.2,6,1.1,11.1,NA
"Drug overdose death rates",0,1,4,4.2,7,1.1,12.8,NA
"Drug overdose death rates",0,1,4,4.2,8,1.1,15.2,NA
"Drug overdose death rates",0,1,4,4.2,9,1.1,13,NA
"Drug overdose death rates",0,1,4,4.2,10,1.1,11.3,NA
"Drug overdose death rates",0,1,4,4.2,11,1.1,10.8,NA
"Drug overdose death rates",0,1,4,4.2,12,1.1,10.1,NA
"Drug overdose death rates",0,1,4,4.2,13,1.1,11,NA
"Drug overdose death rates",0,1,4,4.2,14,1.1,11.3,NA
"Drug overdose death rates",0,1,4,4.2,15,1.1,12.9,NA
"Drug overdose death rates",0,1,4,4.2,16,1.1,13.8,NA
"Drug overdose death rates",0,1,4,4.2,17,1.1,16.8,NA
"Drug overdose death rates",0,1,4,4.2,18,1.1,24,NA
"Drug overdose death rates",0,1,4,4.2,19,1.1,29.7,NA
"Drug overdose death rates",0,1,4,4.2,20,1.1,30.9,NA
"Drug overdose death rates",0,1,4,4.3,1,1.1,5.7,NA
"Drug overdose death rates",0,1,4,4.3,2,1.1,6.1,NA
"Drug overdose death rates",0,1,4,4.3,3,1.1,5.9,NA
"Drug overdose death rates",0,1,4,4.3,4,1.1,8.2,NA
"Drug overdose death rates",0,1,4,4.3,5,1.1,9.4,NA
"Drug overdose death rates",0,1,4,4.3,6,1.1,11.2,NA
"Drug overdose death rates",0,1,4,4.3,7,1.1,10.8,NA
"Drug overdose death rates",0,1,4,4.3,8,1.1,13,NA
"Drug overdose death rates",0,1,4,4.3,9,1.1,10.5,NA
"Drug overdose death rates",0,1,4,4.3,10,1.1,13.5,NA
"Drug overdose death rates",0,1,4,4.3,11,1.1,14.2,NA
"Drug overdose death rates",0,1,4,4.3,12,1.1,11.8,NA
"Drug overdose death rates",0,1,4,4.3,13,1.1,12.9,NA
"Drug overdose death rates",0,1,4,4.3,14,1.1,12.8,NA
"Drug overdose death rates",0,1,4,4.3,15,1.1,12.9,NA
"Drug overdose death rates",0,1,4,4.3,16,1.1,15.9,NA
"Drug overdose death rates",0,1,4,4.3,17,1.1,16,NA
"Drug overdose death rates",0,1,4,4.3,18,1.1,17.7,NA
